"denom","timestamp","price","marketCap","dayVolume"
"unyx",1660075200000,0,0,0
"unyx",1660078800000,0,0,0
"unyx",1660082400000,0,0,0
"unyx",1660086000000,0,0,0
"unyx",1660089600000,0,0,0
"unyx",1660093200000,0,0,0
"unyx",1660096800000,0,0,0
"unyx",1660100400000,0,0,0
"unyx",1660104000000,0,0,0
"unyx",1660107600000,0,0,0
"unyx",1660111200000,0,0,0
"unyx",1660114800000,0,0,0
"unyx",1660118400000,0,0,0
"unyx",1660122000000,0,0,0
"unyx",1660125600000,0,0,0
"unyx",1660129200000,0,0,0
"unyx",1660132800000,0,0,0
"unyx",1660136400000,0,0,0
"unyx",1660140000000,0,0,0
"unyx",1660143600000,0,0,0
"unyx",1660147200000,0,0,0
"unyx",1660150800000,0,0,0
"unyx",1660154400000,0,0,0
"unyx",1660158000000,0,0,0
"unyx",1660161600000,0,0,0
"unyx",1660165200000,0,0,0
"unyx",1660168800000,0,0,0
"unyx",1660172400000,0,0,0
"unyx",1660176000000,0,0,0
"unyx",1660179600000,0,0,0
"unyx",1660183200000,0,0,0
"unyx",1660186800000,0,0,0
"unyx",1660190400000,0,0,0
"unyx",1660194000000,0,0,0
"unyx",1660197600000,0,0,0
"unyx",1660201200000,0,0,0
"unyx",1660204800000,0,0,0
"unyx",1660208400000,0,0,0
"unyx",1660212000000,0,0,0
"unyx",1660215600000,0,0,0
"unyx",1660219200000,0,0,0
"unyx",1660222800000,0,0,0
"unyx",1660226400000,0,0,0
"unyx",1660230000000,0,0,0
"unyx",1660233600000,0,0,0
"unyx",1660237200000,0,0,0
"unyx",1660240800000,0,0,0
"unyx",1660244400000,0,0,0
"unyx",1660248000000,0,0,0
"unyx",1660251600000,0,0,0
"unyx",1660255200000,0,0,0
"unyx",1660258800000,0,0,0
"unyx",1660262400000,0,0,0
"unyx",1660266000000,0,0,0
"unyx",1660269600000,0,0,0
"unyx",1660273200000,0,0,0
"unyx",1660276800000,0,0,0
"unyx",1660280400000,0,0,0
"unyx",1660284000000,0,0,0
"unyx",1660287600000,0,0,0
"unyx",1660291200000,0,0,0
"unyx",1660294800000,0,0,0
"unyx",1660298400000,0,0,0
"unyx",1660302000000,0,0,0
"unyx",1660305600000,0,0,0
"unyx",1660309200000,0,0,0
"unyx",1660312800000,0,0,0
"unyx",1660316400000,0,0,0
"unyx",1660320000000,0,0,0
"unyx",1660323600000,0,0,0
"unyx",1660327200000,0,0,0
"unyx",1660330800000,0,0,0
"unyx",1660334400000,0,0,0
"unyx",1660338000000,0,0,0
"unyx",1660341600000,0,0,0
"unyx",1660345200000,0,0,0
